경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0375205,37.5903047,고려대역,109,서울특별시 동대문구 제기동 1147-13,1147,13,일신빌딩,전세,30.79,202212,12,13000,0,13000,4,2004,회기로4길 19-7,-,신규,-,0,0
127.0375205,37.5903047,고려대역,109,서울특별시 동대문구 제기동 1147-13,1147,13,일신빌딩,월세,37.05,202303,30,1000,70,1770,2,2004,회기로4길 19-7,11,신규,-,0,0
127.0339717,37.579895,제기동역,210,서울특별시 동대문구 제기동 1158-42,1158,42,정임주택,월세,59,202212,16,5000,35,5420,5,2007,왕산로19마길 30,12,신규,-,0,0
127.0339717,37.579895,제기동역,210,서울특별시 동대문구 제기동 1158-42,1158,42,정임주택,월세,37.64,202305,31,1000,60,1720,3,2007,왕산로19마길 30,12,신규,-,0,0
127.0399022,37.5853696,고려대역,646,서울특별시 동대문구 제기동 682-17,682,17,정화힐타운,전세,23.73,202306,26,13000,0,13000,4,2003,고산자로50길 23-1,-,갱신,-,"12,000",0
127.0359784,37.587554,고려대역,321,서울특별시 동대문구 제기동 136-294,136,294,제기COLORHOUSE,전세,26.94,202306,9,11500,0,11500,3,2002,안암로22길 30,-,신규,-,0,0
127.0359784,37.587554,고려대역,321,서울특별시 동대문구 제기동 136-294,136,294,제기COLORHOUSE,전세,34.58,202310,16,12000,0,12000,2,2002,안암로22길 30,-,-,-, , 
127.0335877,37.5803573,제기동역,271,서울특별시 동대문구 제기동 274-22,274,22,제기동274-22,전세,45.46,202211,18,30000,0,30000,4,2020,왕산로23가길 13-6,-,신규,-,0,0
127.0335877,37.5803573,제기동역,271,서울특별시 동대문구 제기동 274-22,274,22,제기동274-22,전세,29.94,202211,25,25000,0,25000,4,2020,왕산로23가길 13-6,-,신규,-,0,0
127.0335877,37.5803573,제기동역,271,서울특별시 동대문구 제기동 274-22,274,22,제기동274-22,전세,28.6,202303,4,23500,0,23500,3,2020,왕산로23가길 13-6,-,-,-, , 
127.0335877,37.5803573,제기동역,271,서울특별시 동대문구 제기동 274-22,274,22,제기동274-22,전세,29.38,202306,3,23000,0,23000,5,2020,왕산로23가길 13-6,-,신규,-,0,0
127.0342356,37.5831338,제기동역,555,서울특별시 동대문구 제기동 244,244,0,제기파크빌1,전세,60.39,202303,13,23000,0,23000,2,2008,약령시로5길 4-4,-,신규,-,0,0
127.0342356,37.5831338,제기동역,555,서울특별시 동대문구 제기동 244,244,0,제기파크빌1,전세,62,202305,27,23000,0,23000,1,2008,약령시로5길 4-4,-,신규,-,0,0
127.0342356,37.5831338,제기동역,555,서울특별시 동대문구 제기동 244,244,0,제기파크빌1,월세,84.77,202306,5,15000,50,16200,3,2008,약령시로5길 4-4,24,신규,-,0,0
127.0342356,37.5831338,제기동역,555,서울특별시 동대문구 제기동 244,244,0,제기파크빌1,월세,84.77,202306,5,15000,50,16200,3,2008,약령시로5길 4-4,24,신규,-,0,0
