역이름,역지역,x,y,호선
도원역,수도권,37.46876979,126.6425148,01호선
온수역,수도권,37.49195669,126.8238253,01호선
중동역,수도권,37.48666358,126.7645216,01호선
도화역,수도권,37.46610669,126.6685715,01호선
서울숲역,수도권,37.54363499,127.0447417,분당선
압구정로데오역,수도권,37.52750857,127.0405915,분당선
강남구청역,수도권,37.51720086,127.0412872,분당선
선정릉역,수도권,37.51092904,127.0436137,분당선
가천대역,수도권,37.4485554,127.1266866,분당선
태평역,수도권,37.43977839,127.127734,분당선
모란역,수도권,37.43402749,127.1299614,분당선
야탑역,수도권,37.41135924,127.1287249,분당선
서현역,수도권,37.38500102,127.1234179,분당선
수내역,수도권,37.37846877,127.1142843,분당선
정자역,수도권,37.3661666,127.1080794,분당선
미금역,수도권,37.3500734,127.1090044,분당선
이매역,수도권,37.39470993,127.1272961,분당선
구성역,수도권,37.29896985,127.1056823,분당선
신갈역,수도권,37.28613395,127.1112802,분당선
상갈역,수도권,37.26180824,127.1087192,분당선
청명역,수도권,37.25952516,127.0789555,분당선
영통역,수도권,37.2514927,127.0713274,분당선
망포역,수도권,37.24582396,127.0568503,분당선
매탄권선역,수도권,37.2524983,127.0408041,분당선
수원시청역,수도권,37.2619082,127.0308437,분당선
매교역,수도권,37.26551532,127.0158961,분당선
달월역,수도권,37.38001592,126.74539,수인선
월곶역,수도권,37.3918135,126.7427076,수인선
소래포구역,수도권,37.4009294,126.7334831,수인선
인천논현역,수도권,37.40065197,126.7225515,수인선
호구포역,수도권,37.40162775,126.7086787,수인선
남동인더스파크역,수도권,37.40773874,126.695214,수인선
원인재역,수도권,37.41236884,126.6878756,수인선
청량리역,수도권,37.58071852,127.0484998,분당선
보정역,수도권,37.31277133,127.1083188,분당선
연수역,수도권,37.41791267,126.6787475,수인선
송도역,수도권,37.42995442,126.6546757,수인선
인하대역,수도권,37.44832057,126.6497545,수인선
숭의역,수도권,37.46079235,126.6383933,수인선
인천역,수도권,37.47614957,126.6168166,수인선
방학역,수도권,37.66743116,127.0443172,01호선
도봉역,수도권,37.67919749,127.0455258,01호선
도봉산역,수도권,37.68955853,127.0460537,01호선
망월사역,수도권,37.71020835,127.0474047,01호선
회룡역,수도권,37.72379508,127.0472772,01호선
의정부역,수도권,37.73835529,127.0459477,01호선
가능역,수도권,37.74839272,127.0442746,01호선
녹양역,수도권,37.75938526,127.0422612,01호선
양주역,수도권,37.77412414,127.0447213,01호선
덕계역,수도권,37.81875259,127.0566735,01호선
덕정역,수도권,37.84318405,127.0615548,01호선
지행역,수도권,37.89187431,127.0556609,01호선
동두천중앙역,수도권,37.90176632,127.0564187,01호선
보산역,수도권,37.91414493,127.057156,01호선
동두천역,수도권,37.92760607,127.0549143,01호선
원당역,수도권,37.65309939,126.8429139,03호선
대곡역,수도권,37.63168113,126.810921,03호선
백석역,수도권,37.64295874,126.7881179,03호선
마두역,수도권,37.65223751,126.7775981,03호선
정발산역,수도권,37.65947341,126.773406,03호선
주엽역,수도권,37.67013504,126.7612454,03호선
대화역,수도권,37.67614293,126.7474874,03호선
방화역,수도권,37.57758875,126.8128012,05호선
개화산역,수도권,37.57253355,126.8068143,05호선
김포공항역,수도권,37.56194774,126.8019069,05호선
송정역,수도권,37.561154,126.8124123,05호선
마곡역,수도권,37.56021781,126.8246834,05호선
발산역,수도권,37.55866872,126.8377251,05호선
우장산역,수도권,37.54880987,126.8363206,05호선
화곡역,수도권,37.54164355,126.8404324,05호선
원흥역,수도권,37.65068496,126.8730162,03호선
까치산역,수도권,37.53222704,126.8464262,05호선
신정역,수도권,37.52501318,126.8560794,05호선
목동역,수도권,37.52612248,126.8646072,05호선
오목교역,수도권,37.52453046,126.8752892,05호선
양평역,수도권,37.52556883,126.8864193,05호선
영등포구청역,수도권,37.52583052,126.8966683,05호선
영등포시장역,수도권,37.52270218,126.9051796,05호선
신길역,수도권,37.51678342,126.9183536,05호선
여의도역,수도권,37.52116647,126.9246384,05호선
여의나루역,수도권,37.52713613,126.9329815,05호선
마포역,수도권,37.53954051,126.9458467,05호선
공덕역,수도권,37.54453447,126.9514331,05호선
애오개역,수도권,37.55340233,126.9566558,05호선
충정로역,수도권,37.55974797,126.9644842,05호선
서대문역,수도권,37.56574923,126.9666319,05호선
광화문역,수도권,37.5716441,126.9764096,05호선
종로3가역,수도권,37.57042084,126.9921442,05호선
을지로4가역,수도권,37.5666369,126.997623,05호선
동대문역사문화공원역,수도권,37.56564549,127.0089872,05호선
청구역,수도권,37.56020299,127.0139212,05호선
신금호역,수도권,37.55447169,127.0204841,05호선
행당역,수도권,37.55735297,127.0294937,05호선
왕십리역,수도권,37.56126116,127.0370785,05호선
마장역,수도권,37.56612455,127.0429667,05호선
답십리역,수도권,37.56696761,127.0525432,05호선
장한평역,수도권,37.56159218,127.0636992,05호선
군자역,수도권,37.5571497,127.0794948,05호선
아차산역,수도권,37.55224106,127.0895615,05호선
광나루역,수도권,37.54529197,127.1035169,05호선
천호역,수도권,37.53849681,127.1239194,05호선
강동역,수도권,37.53587473,127.1323782,05호선
길동역,수도권,37.53781209,127.1400077,05호선
삼송역,수도권,37.65306773,126.8956537,03호선
굽은다리역,수도권,37.54550319,127.1428737,05호선
명일역,수도권,37.5513943,127.1440392,05호선
고덕역,수도권,37.55503956,127.1541639,05호선
상일동역,수도권,37.55666348,127.1658921,05호선
둔촌동역,수도권,37.52765324,127.1362101,05호선
올림픽공원역,수도권,37.51632457,127.1309637,05호선
방이역,수도권,37.50874343,127.126087,05호선
오금역,수도권,37.50212807,127.1279306,05호선
개롱역,수도권,37.49795748,127.1350705,05호선
마천역,수도권,37.49503458,127.1528418,05호선
응암역,수도권,37.59848384,126.9155241,06호선
역촌역,수도권,37.60621934,126.9228313,06호선
불광역,수도권,37.61004419,126.9303022,06호선
연신내역,수도권,37.61919243,126.9210962,06호선
구산역,수도권,37.61124308,126.9172538,06호선
새절역,수도권,37.59086003,126.9135625,06호선
증산역,수도권,37.58373913,126.9094724,06호선
디지털미디어시티역,수도권,37.57600202,126.9012631,06호선
월드컵경기장역,수도권,37.56962115,126.8990982,06호선
마포구청역,수도권,37.56347996,126.9034075,06호선
망원역,수도권,37.55607905,126.9100943,06호선
합정역,수도권,37.54990144,126.9144473,06호선
상수역,수도권,37.54776257,126.9224163,06호선
광흥창역,수도권,37.54748017,126.9320127,06호선
대흥역,수도권,37.54762988,126.9424687,06호선
공덕역,수도권,37.54453447,126.9514331,06호선
효창공원앞역,수도권,37.53929433,126.9613936,06호선
삼각지역,수도권,37.53443213,126.9729139,06호선
녹사평역,수도권,37.53470477,126.9865361,06호선
이태원역,수도권,37.53450718,126.9943203,06호선
한강진역,수도권,37.53978717,127.0017425,06호선
버티고개역,수도권,37.54782391,127.0067218,06호선
약수역,수도권,37.55449098,127.0108871,06호선
거여역,수도권,37.49331604,127.1437693,05호선
독바위역,수도권,37.61840694,126.9330355,06호선
신당역,수도권,37.56566224,127.0194685,06호선
동묘앞역,수도권,37.57321306,127.0163461,06호선
창신역,수도권,37.57941204,127.0152833,06호선
보문역,수도권,37.58553809,127.0199945,06호선
안암역,수도권,37.586293,127.0292334,06호선
