long,lat,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,dong,rent_month,build,new_address,term,contract1,contract2,contract3...26,contract3...27,build_age,station_km,univ_km,cbd_km,gbd_km,ybd_km,scaled_guarantee,predicted,residuals,under_rated
126.9032392,37.5511557,3308.406945,13733.14738,6733.911621,1,nw,서울특별시 마포구 합정동,4**,망원역,816,홍익대학교,1991,8m미만,33,1,202304,13,20000,합정동,0,1990,동교로,202305~202505,-,-,,,33,0.816,1.991,3.308406945,13.73314738,6.733911621,606.0606061,10580.35194,9419.648057,0
126.9032392,37.5511557,3308.406945,13733.14738,6733.911621,1,nw,서울특별시 마포구 합정동,4**,망원역,816,홍익대학교,1991,8m미만,33.23,1,202308,9,12000,합정동,0,1990,동교로,-,-,-,,,33,0.816,1.991,3.308406945,13.73314738,6.733911621,361.1194704,10633.63231,1366.367692,0
126.9111989,37.5455495,2441.161817,12849.7403,6246.060971,1,nw,서울특별시 마포구 합정동,3**,합정역,562,홍익대학교,1408,8m미만,33.48,1,202310,9,16000,합정동,0,1991,토정로,202311~202511,신규,-,0,0,32,0.562,1.408,2.441161817,12.8497403,6.246060971,477.8972521,11054.18033,4945.819669,0
126.9079153,37.5514837,3160.614728,13366.15365,6324.182572,1,nw,서울특별시 마포구 합정동,3**,망원역,545,홍익대학교,1579,8m미만,36,1,202308,15,25000,합정동,0,2016,포은로2가길,202308~202508,갱신,-,25000,0,7,0.545,1.579,3.160614728,13.36615365,6.324182572,694.4444444,14667.27119,10332.72881,0
126.908393,37.5518124,3178.67028,13341.78505,6274.320322,1,nw,서울특별시 마포구 합정동,4**,망원역,497,홍익대학교,1539,8m미만,36.36,1,202302,13,11000,합정동,0,1994,포은로2나길,202302~202502,갱신,-,9000,0,29,0.497,1.539,3.17867028,13.34178505,6.274320322,302.530253,12140.05311,-1140.05311,1
126.9132304,37.5453991,2363.77573,12676.22236,6084.70281,1,nw,서울특별시 마포구 합정동,9*,합정역,511,홍익대학교,1254,8m미만,37.7,1,202306,28,23000,합정동,0,2015,토정로2길,202308~202508,갱신,-,23000,0,8,0.511,1.254,2.36377573,12.67622236,6.08470281,610.0795756,14977.41891,8022.581087,0
126.9074316,37.5512668,3155.048054,13396.04086,6371.557724,1,nw,서울특별시 마포구 합정동,4**,망원역,584,홍익대학교,1621,8m미만,39,1,202302,6,17000,합정동,0,1995,포은로2길,202302~202502,-,-,,,28,0.584,1.621,3.155048054,13.39604086,6.371557724,435.8974359,12791.63582,4208.364182,0
126.9074172,37.5496905,2995.715979,13329.85628,6418.552211,1,nw,서울특별시 마포구 합정동,3**,합정역,622,홍익대학교,1625,12m미만,39.63,1,202307,7,15000,합정동,0,2002,희우정로3길,202307~202507,갱신,-,15000,0,21,0.622,1.625,2.995715979,13.32985628,6.418552211,378.5011355,13747.72024,1252.279756,0
126.9193129,37.5472347,2458.002873,12254.72791,5509.936241,1,nw,서울특별시 마포구 합정동,3**,상수역,280,홍익대학교,688,8m미만,42.15,1,202306,17,12000,합정동,0,1991,어울마당로3길,202307~202507,-,-,,,32,0.28,0.688,2.458002873,12.25472791,5.509936241,284.6975089,13332.60625,-1332.606246,1
126.9117836,37.5527738,3184.184371,13110.89607,5957.844253,1,nw,서울특별시 마포구 합정동,4**,합정역,396,홍익대학교,1256,8m미만,43.65,1,202304,5,18000,합정동,0,1994,월드컵로7길,202305~202505,-,-,,,29,0.396,1.256,3.184184371,13.11089607,5.957844253,412.371134,13925.97807,4074.021934,0
126.9111989,37.5455495,2441.161817,12849.7403,6246.060971,1,nw,서울특별시 마포구 합정동,3**,합정역,562,홍익대학교,1408,8m미만,49.11,1,202305,1,17000,합정동,0,2001,토정로,202305~202505,갱신,-,17000,0,22,0.562,1.408,2.441161817,12.8497403,6.246060971,346.1616779,15881.75611,1118.243889,0
126.9189166,37.5455729,2277.538671,12216.30764,5612.755246,1,nw,서울특별시 마포구 합정동,3**,상수역,393,홍익대학교,831,25m미만,54,1,202303,9,22000,합정동,0,2007,어울마당로,202304~202504,신규,-,0,0,16,0.393,0.831,2.277538671,12.21630764,5.612755246,407.4074074,17903.1698,4096.830197,0
126.918448,37.5476642,2512.730692,12343.71424,5563.868239,1,nw,서울특별시 마포구 합정동,3**,상수역,351,홍익대학교,729,8m미만,60,1,202303,31,23000,합정동,0,2002,독막로8길,202304~202403,갱신,-,23000,0,21,0.351,0.729,2.512730692,12.34371424,5.563868239,383.3333333,18729.7914,4270.208596,0
126.9146837,37.5452113,2306.866874,12548.96999,5973.291929,1,nw,서울특별시 마포구 합정동,8*,합정역,521,홍익대학교,1153,8m미만,63,1,202301,19,16000,합정동,0,1975,토정로4길,202303~202503,신규,-,0,0,48,0.521,1.153,2.306866874,12.54896999,5.973291929,253.968254,16003.74819,-3.748191493,1
